Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,Phoenix Suns,21-61,25.00%,250,1st,0,Deandre Ayton,Phoenix Suns,2018
2,Sacramento Kings,27-55,5.30%,53,7th,+5,Marvin Bagley III,Sacramento Kings,2018
3,Atlanta Hawks,24-58,13.70%,137,4th,+1,Luka Doncic,Atlanta Hawks,2018
4,Memphis Grizzlies,22-60,19.90%,199,2nd,-2,"Jaren Jackson, Jr.",Memphis Grizzlies,2018
5,Dallas Mavericks,24-58,13.80%,138,3rd,-2,Trae Young,Dallas Mavericks,2018
6,Orlando Magic,25-57,8.80%,88,5th,-1,Mohamed Bamba,Orlando Magic,2018
7,Chicago Bulls,27-55,5.30%,53,6th,-1,"Wendell Carter, Jr.",Chicago Bulls,2018
8,Brooklyn Nets,28-54,2.80%,28,8th,0,Collin Sexton,Cleveland Cavaliers,2018
9,New York Knicks,29-53,1.70%,17,9th,0,Kevin Knox II,New York Knicks,2018
10,Los Angeles Lakers,35-47,1.10%,11,10th,0,Mikal Bridges,Philadelphia Sixers,2018
11,Charlotte Hornets,36-46,0.80%,8,11th,0,Shai Gilgeous-Alexander,Charlotte Hornets,2018
12,Detroit Pistons,39-43,0.70%,7,12th,0,Miles Bridges,Los Angeles Clippers,2018
13,Los Angeles Clippers,42-40,0.60%,6,13th,0,Jerome Robinson,Los Angeles Clippers,2018
14,Denver Nuggets,46-36,0.50%,5,14th,0,"Michael Porter, Jr.",Denver Nuggets,2018
