Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,New Jersey Nets,17-65,16.67%,11,1st,0,Derrick Coleman,New Jersey Nets,1990
2,Seattle SuperSonics,41-41,3.03%,2,10th,+8,Gary Payton,Seattle SuperSonics,1990
3,Miami Heat,18-64,15.15%,10,2nd,-1,Mahmoud Abdul-Rauf,Denver Nuggets,1990
4,Orlando Magic,18-64,13.64%,9,3rd,-1,Dennis Scott,Orlando Magic,1990
5,Charlotte Hornets,19-63,12.12%,8,4th,-1,Kendall Gill,Charlotte Hornets,1990
6,Minnesota Timberwolves,22-60,10.61%,7,5th,-1,Felton Spencer,Minnesota Timberwolves,1990
7,Sacramento Kings,23-59,9.09%,6,6th,-1,Lionel Simmons,Sacramento Kings,1990
8,Los Angeles Clippers,30-52,7.58%,5,7th,-1,Bo Kimble,Los Angeles Clippers,1990
9,Dallas Mavericks,31-51,6.06%,4,8th,-1,Willie Burton,Miami Heat,1990
10,Golden State Warriors,37-45,4.55%,3,9th,-1,Rumeal Robinson,Atlanta Hawks,1990
11,Atlanta Hawks,41-41,1.52%,1,11th,0,Tyrone Hill,Golden State Warriors,1990
