Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,Washington Wizards,19-63,15.70%,157,3rd,+2,Kwame Brown,Washington Wizards,2001
2,Los Angeles Clippers,31-51,2.90%,29,8th,+6,Tyson Chandler,Los Angeles Clippers,2001
3,Atlanta Hawks,25-57,8.90%,89,5th,+2,Pau Gasol,Atlanta Hawks,2001
4,Chicago Bulls,15-67,25.00%,250,1st,-3,Eddy Curry,Chicago Bulls,2001
5,Golden State Warriors,17-65,20.00%,200,2nd,-3,Jason Richardson,Golden State Warriors,2001
6,Vancouver Grizzlies,23-59,12.00%,120,4th,-2,Shane Battier,Vancouver Grizzlies,2001
7,New Jersey Nets,26-56,6.40%,64,6th,-1,Eddie Griffin,New Jersey Nets,2001
8,Cleveland Cavaliers,30-52,4.40%,44,7th,-1,DeSagana Diop,Cleveland Cavaliers,2001
9,Detroit Pistons,32-50,1.80%,18,9th,0,Rodney White,Detroit Pistons,2001
10,Boston Celtics,36-46,1.10%,11,10th,0,Joe Johnson,Boston Celtics,2001
11,Denver Nuggets,40-42,0.70%,7,11th,0,Kedrick Brown,Boston Celtics,2001
12,Seattle SuperSonics,44-38,0.60%,6,12th,0,Vladimir Radmanovic,Seattle SuperSonics,2001
13,Houston Rockets,45-37,0.50%,5,13th,0,Richard Jefferson,Houston Rockets,2001
