Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,New Orleans Hornets,21-45,13.70%,137,4th,+3,Anthony Davis,New Orleans Hornets,2012
2,Charlotte Bobcats,7-59,25.00%,250,1st,-1,Michael Kidd-Gilchrist,Charlotte Bobcats,2012
3,Washington Wizards,20-46,19.90%,199,2nd,-1,Bradley Beal,Washington Wizards,2012
4,Cleveland Cavaliers,21-45,13.80%,138,3rd,-1,Dion Waiters,Cleveland Cavaliers,2012
5,Sacramento Kings,22-44,7.60%,76,5th,0,Thomas Robinson,Sacramento Kings,2012
6,New Jersey Nets,22-44,7.50%,75,6th,0,Damian Lillard,Portland Trail Blazers,2012
7,Golden State Warriors,23-43,3.60%,36,7th,0,Harrison Barnes,Golden State Warriors,2012
8,Toronto Raptors,23-43,3.50%,35,8th,0,Terrence Ross,Toronto Raptors,2012
9,Detroit Pistons,25-41,1.70%,17,9th,0,Andre Drummond,Detroit Pistons,2012
10,Minnesota Timberwolves,26-40,1.10%,11,10th,0,Austin Rivers,New Orleans Hornets,2012
11,Portland Trail Blazers,28-38,0.80%,8,11th,0,Meyers Leonard,Portland Trail Blazers,2012
12,Milwaukee Bucks,31-35,0.70%,7,12th,0,Jeremy Lamb,Houston Rockets,2012
13,Phoenix Suns,33-33,0.60%,6,13th,0,Kendall Marshall,Phoenix Suns,2012
14,Houston Rockets,34-32,0.50%,5,14th,0,John Henson,Milwaukee Bucks,2012
