Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,San Antonio Spurs,22-60,14.00%,140,3rd,+2,Victor Wembanyama,San Antonio Spurs,2023
2,Charlotte Hornets,27-55,12.50%,125,4th,+2,Brandon Miller,Charlotte Hornets,2023
3,Portland Trail Blazers,33-49,10.50%,105,5th,+2,Scoot Henderson,Portland Trail Blazers,2023
4,Houston Rockets,22-60,14.00%,140,2nd,-2,Amen Thompson,Houston Rockets,2023
5,Detroit Pistons,17-65,14.00%,140,1st,-4,Ausar Thompson,Detroit Pistons,2023
6,Orlando Magic,34-48,9.00%,90,6th,0,Anthony Black,Orlando Magic,2023
7,Indiana Pacers,35-47,6.80%,68,7th,0,Bilal Coulibaly,Indiana Pacers,2023
8,Washington Wizards,35-47,6.70%,67,8th,0,Jarace Walker,Washington Wizards,2023
9,Utah Jazz,37-45,4.50%,45,9th,0,Taylor Hendricks,Utah Jazz,2023
10,Dallas Mavericks,38-44,3.00%,30,10th,0,Cason Wallace,Dallas Mavericks,2023
11,Chicago Bulls,40-42,1.80%,18,11th,0,Jett Howard,Orlando Magic,2023
12,Oklahoma City Thunder,40-42,1.70%,17,12th,0,Dereck Lively II,Oklahoma City Thunder,2023
13,Toronto Raptors,41-41,1.00%,10,13th,0,Gradey Dick,Toronto Raptors,2023
14,New Orleans Pelicans,42-40,0.50%,5,14th,0,Jordan Hawkins,New Orleans Pelicans,2023
