Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,Charlotte Hornets,26-56,10.61%,7,5th,+4,Larry Johnson,Charlotte Hornets,1991
2,New Jersey Nets,26-56,12.12%,8,4th,+2,Kenny Anderson,New Jersey Nets,1991
3,Sacramento Kings,25-57,13.64%,9,3rd,0,Billy Owens,Sacramento Kings,1991
4,Denver Nuggets,20-62,16.67%,11,1st,-3,Dikembe Mutombo,Denver Nuggets,1991
5,Miami Heat,24-58,15.15%,10,2nd,-3,Steve Smith,Miami Heat,1991
6,Dallas Mavericks,28-54,9.09%,6,6th,0,Doug Smith,Dallas Mavericks,1991
7,Minnesota Timberwolves,29-53,7.58%,5,7th,0,Luc Longley,Minnesota Timberwolves,1991
8,Washington Bullets,30-52,6.06%,4,8th,0,Mark Macon,Denver Nuggets,1991
9,Los Angeles Clippers,31-51,4.55%,3,9th,0,Stacey Augmon,Atlanta Hawks,1991
10,Orlando Magic,31-51,3.03%,2,10th,0,Bison Dele,Orlando Magic,1991
11,Cleveland Cavaliers,33-49,1.52%,1,11th,0,Terrell Brandon,Cleveland Cavaliers,1991
