Pick,Team,Record,Odds,Chances,Pre-Lottery Position,Pick Change,Player Taken,Draft Team,Year
1,Detroit Pistons,20-52,14.00%,140,2nd,+1,Cade Cunningham,Detroit Pistons,2021
2,Houston Rockets,17-55,14.00%,140,1st,-1,Jalen Green,Houston Rockets,2021
3,Cleveland Cavaliers,22-50,11.50%,115,5th,+2,Evan Mobley,Cleveland Cavaliers,2021
4,Toronto Raptors,27-45,7.50%,75,7th,+3,Scottie Barnes,Toronto Raptors,2021
5,Orlando Magic,21-51,14.00%,140,3rd,-2,Jalen Suggs,Orlando Magic,2021
6,Oklahoma City Thunder,22-50,11.50%,115,4th,-2,Josh Giddey,Oklahoma City Thunder,2021
7,Golden State Warriors,23-49,9.00%,90,6th,-1,Jonathan Kuminga,Golden State Warriors,2021
8,Chicago Bulls,31-41,4.50%,45,8th,0,Franz Wagner,Orlando Magic,2021
9,Sacramento Kings,31-41,4.50%,45,9th,0,Davion Mitchell,Sacramento Kings,2021
10,New Orleans Pelicans,31-41,4.50%,45,10th,0,Ziaire Williams,New Orleans Pelicans,2021
11,Charlotte Hornets,33-39,1.80%,18,11th,0,James Bouknight,Charlotte Hornets,2021
12,San Antonio Spurs,33-39,1.70%,17,12th,0,Joshua Primo,San Antonio Spurs,2021
13,Indiana Pacers,34-38,1.00%,10,13th,0,Chris Duarte,Indiana Pacers,2021
14,Golden State Warriors,39-33,0.50%,5,14th,0,Moses Moody,Golden State Warriors,2021
